#i	s.x[i]	s.y[i]	value	angle
43	0.346471	0.938061	0.77476	1.21699
44	0.967187	-0.254065	-0.163535	-0.256881
45	0.106155	0.99435	0.932292	1.46444
46	0.321928	0.946764	0.791338	1.24303
47	0.714882	-0.699245	-0.492961	-0.774342
48	0.392237	-0.919864	-0.743402	-1.16773
49	0.24337	-0.969934	-0.843494	-1.32496
50	0.589134	-0.808035	-0.598938	-0.940809
51	0.325923	0.945396	0.78865	1.23881
52	0.990642	-0.136485	-0.087161	-0.136912
53	0.982445	-0.186552	-0.119463	-0.187651
54	0.649817	-0.760091	-0.549691	-0.863453
55	0.999666	-0.0258483	-0.0164574	-0.0258512
56	0.439308	0.898336	0.710447	1.11597
57	0.406911	-0.913468	-0.733212	-1.15173
58	0.909578	0.415533	0.27281	0.428528
59	0.532225	0.846603	0.642712	1.00957
60	0.891631	0.452764	0.299124	0.469862
61	0.959453	-0.281869	-0.181909	-0.285742
62	0.504016	0.863694	0.66371	1.04255
63	0.363411	-0.931629	-0.763224	-1.19887
64	0.739365	-0.673305	-0.470252	-0.73867
65	0.389208	-0.92115	-0.745498	-1.17103
66	0.669491	0.74282	0.533025	0.837273
67	0.903575	-0.428431	-0.281867	-0.442756
68	0.903416	-0.428765	-0.282103	-0.443126
69	0.689395	0.724385	0.515753	0.810142
70	0.0213552	0.999772	0.986404	1.54944
71	0.634003	-0.773331	-0.562822	-0.884078
72	0.589815	-0.807539	-0.598401	-0.939967
73	0.0896251	-0.995976	-0.942866	-1.48105
74	0.689287	-0.724489	-0.515848	-0.810292
75	0.982468	0.186434	0.119386	0.187531
76	0.791761	-0.610831	-0.418329	-0.65711
77	0.994892	-0.100949	-0.064376	-0.101122
78	0.337294	-0.941399	-0.780976	-1.22675
79	0.442867	-0.896588	-0.707923	-1.112
80	0.00626911	0.99998	0.996009	1.56453
81	0.997882	0.0650464	0.0414391	0.0650923
82	0.143504	0.98965	0.908326	1.42679
83	0.559723	-0.82868	-0.621815	-0.976745
84	0.999293	0.0375907	0.0239366	0.0375995
85	0.646802	-0.762658	-0.552212	-0.867412
86	0.943854	-0.330362	-0.214341	-0.336687
87	0.908914	0.416984	0.273826	0.430124
88	0.361151	0.932507	0.764768	1.20129
89	0.103628	-0.994616	-0.933909	-1.46698
90	0.899491	0.436939	0.287875	0.452193
91	0.0840283	0.996463	0.946443	1.48667
92	0.806459	-0.59129	-0.402762	-0.632657
93	0.996818	-0.0797061	-0.0507964	-0.0797908
94	0.233229	0.972422	0.850142	1.3354
95	0.275698	-0.961244	-0.822182	-1.29148
96	0.578457	-0.815713	-0.60731	-0.95396
97	0.913018	-0.40792	-0.267491	-0.420175
98	0.928573	0.371149	0.242072	0.380246
99	6.90759e-310	1.2732e-313	6.90759e-310	2.0741e-317
100	0	-1	-1	-1.5708

#i	s.x[i]	s.y[i]	value	angle
0	0	1	1	1.5708
1	0.278991	0.960294	0.82	1.28805
2	0.509041	0.860742	0.66	1.03673
3	0.684547	0.728969	0.52	0.816814
4	0.827081	0.562083	0.38	0.596903
5	0.917755	0.397148	0.26	0.408407
6	0.968583	0.24869	0.16	0.251327
7	0.992115	0.125333	0.08	0.125664
8	0.999507	0.0314108	0.02	0.0314159
9	0.999507	-0.0314108	-0.02	-0.0314159
10	0.995562	-0.0941083	-0.06	-0.0942478
11	0.982287	-0.187381	-0.12	-0.188496
12	0.960294	-0.278991	-0.18	-0.282743
13	0.929776	-0.368125	-0.24	-0.376991
14	0.891007	-0.45399	-0.3	-0.471239
15	0.860742	-0.509041	-0.34	-0.534071
16	0.844328	-0.535827	-0.36	-0.565487
17	0.844328	-0.535827	-0.36	-0.565487
18	0.844328	-0.535827	-0.36	-0.565487
19	0.844328	-0.535827	-0.36	-0.565487
20	0.827081	-0.562083	-0.38	-0.596903
21	0.809017	-0.587785	-0.4	-0.628319
22	0.809017	-0.587785	-0.4	-0.628319
23	0.809017	-0.587785	-0.4	-0.628319
24	0.827081	-0.562083	-0.38	-0.596903
25	0.860742	-0.509041	-0.34	-0.534071
26	0.891007	-0.45399	-0.3	-0.471239
27	0.929776	-0.368125	-0.24	-0.376991
28	0.968583	-0.24869	-0.16	-0.251327
29	0.992115	-0.125333	-0.08	-0.125664
30	0.999507	-0.0314108	-0.02	-0.0314159
31	0.998027	0.0627905	0.04	0.0628319
32	0.992115	0.125333	0.08	0.125664
33	0.987688	0.156434	0.1	0.15708
34	0.987688	0.156434	0.1	0.15708
35	0.992115	0.125333	0.08	0.125664
36	0.998027	0.0627905	0.04	0.0628319
37	0.999507	-0.0314108	-0.02	-0.0314159
38	0.995562	-0.0941083	-0.06	-0.0942478
39	0.987688	-0.156434	-0.1	-0.15708
40	0.982287	-0.187381	-0.12	-0.188496
41	0.982287	-0.187381	-0.12	-0.188496
42	0.987688	-0.156434	-0.1	-0.15708
43	0.987688	-0.156434	-0.1	-0.15708
44	0.987688	-0.156434	-0.1	-0.15708
45	0.992115	-0.125333	-0.08	-0.125664
46	0.987688	-0.156434	-0.1	-0.15708
47	0.982287	-0.187381	-0.12	-0.188496
48	0.968583	-0.24869	-0.16	-0.251327
49	0.960294	-0.278991	-0.18	-0.282743
50	0.960294	-0.278991	-0.18	-0.282743
51	0.960294	-0.278991	-0.18	-0.282743
52	0.960294	-0.278991	-0.18	-0.282743
53	0.968583	-0.24869	-0.16	-0.251327
54	0.982287	-0.187381	-0.12	-0.188496
55	0.987688	-0.156434	-0.1	-0.15708
56	0.987688	-0.156434	-0.1	-0.15708
57	0.992115	-0.125333	-0.08	-0.125664
58	0.995562	-0.0941083	-0.06	-0.0942478
59	0.998027	-0.0627905	-0.04	-0.0628319
60	0.998027	-0.0627905	-0.04	-0.0628319
61	0.995562	-0.0941083	-0.06	-0.0942478
62	0.992115	-0.125333	-0.08	-0.125664
63	0.992115	-0.125333	-0.08	-0.125664
64	0.992115	-0.125333	-0.08	-0.125664
65	0.995562	-0.0941083	-0.06	-0.0942478
66	0.999507	-0.0314108	-0.02	-0.0314159
67	1	0	0	0
68	0.999507	0.0314108	0.02	0.0314159
69	0.999507	0.0314108	0.02	0.0314159
70	0.999507	0.0314108	0.02	0.0314159
71	1	0	0	0
72	0.999507	-0.0314108	-0.02	-0.0314159
73	0.995562	-0.0941083	-0.06	-0.0942478
74	0.982287	-0.187381	-0.12	-0.188496
75	0.960294	-0.278991	-0.18	-0.282743
76	0.940881	-0.338738	-0.22	-0.345575
77	0.917755	-0.397148	-0.26	-0.408407
78	0.891007	-0.45399	-0.3	-0.471239
79	0.876307	-0.481754	-0.32	-0.502655
80	0.860742	-0.509041	-0.34	-0.534071
81	0.844328	-0.535827	-0.36	-0.565487
82	0.844328	-0.535827	-0.36	-0.565487
83	0.844328	-0.535827	-0.36	-0.565487
84	0.844328	-0.535827	-0.36	-0.565487
85	0.860742	-0.509041	-0.34	-0.534071
86	0.891007	-0.45399	-0.3	-0.471239
87	0.929776	-0.368125	-0.24	-0.376991
88	0.951057	-0.309017	-0.2	-0.314159
89	0.960294	-0.278991	-0.18	-0.282743
90	0.960294	-0.278991	-0.18	-0.282743
91	0.951057	-0.309017	-0.2	-0.314159
92	0.929776	-0.368125	-0.24	-0.376991
93	0.891007	-0.45399	-0.3	-0.471239
94	0.844328	-0.535827	-0.36	-0.565487
95	0.790155	-0.612907	-0.42	-0.659734
96	0.707107	-0.707107	-0.5	-0.785398
97	0.587785	-0.809017	-0.6	-0.942478
98	0.425779	-0.904827	-0.72	-1.13097
99	0.218143	-0.975917	-0.86	-1.35088
100	0	-1	-1	-1.5708

